id,sourceId,sourceName,rawText,segment,candidateCustodian,targetId,score,matchType,status
review:custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies:2:australian-institute-of-health-and-welfa,custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies,Australian Institute of Aboriginal and Torres Strait Islander Studies,"Australian Bureau of Statistics (ABS): Collaboration on the National Aboriginal and Torres Strait Islander Health Survey.
Australian Institute of Health and Welfare (AIHW): Collaboration on the Aboriginal and Torres Strait Islander Health Performance Framework reports.
National Health and Medical Research Council (NHMRC)/Human Research Ethics Committees (HRECs): AIATSIS works with the NHMRC and HRECs to ensure ethical research practices in Indigenous health research.",Australian Institute of Health and Welfare (AIHW): Collaboration on the Aboriginal and Torres Strait Islander Health Performance Framework reports,Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.02,name_leading,accepted
review:custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies:3:national-health-and-medical-research-cou,custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies,Australian Institute of Aboriginal and Torres Strait Islander Studies,"Australian Bureau of Statistics (ABS): Collaboration on the National Aboriginal and Torres Strait Islander Health Survey.
Australian Institute of Health and Welfare (AIHW): Collaboration on the Aboriginal and Torres Strait Islander Health Performance Framework reports.
National Health and Medical Research Council (NHMRC)/Human Research Ethics Committees (HRECs): AIATSIS works with the NHMRC and HRECs to ensure ethical research practices in Indigenous health research.",National Health and Medical Research Council (NHMRC)/Human Research Ethics Committees (HRECs): AIATSIS works with the NHMRC and HRECs to ensure ethical research practices in Indigenous health research,National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,1.0,name_exact,accepted
review:custodian:australian-institute-of-health-and-welfare:1:abs-collaboration-on-data-integration-an,custodian:australian-institute-of-health-and-welfare,Australian Institute of Health and Welfare,"ABS: Collaboration on data integration and comparison of health expenditure.
Department of Social Services (DSS): Makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW.
Sax Institute (SURE): Provides the Secure Unified Research Environment for AIHW data access.",ABS: Collaboration on data integration and comparison of health expenditure,Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.01,alias_leading,accepted
review:custodian:australian-institute-of-health-and-welfare:2:department-of-social-services-dss-makes-,custodian:australian-institute-of-health-and-welfare,Australian Institute of Health and Welfare,"ABS: Collaboration on data integration and comparison of health expenditure.
Department of Social Services (DSS): Makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW.
Sax Institute (SURE): Provides the Secure Unified Research Environment for AIHW data access.",Department of Social Services (DSS): Makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW,Department of Social Services,custodian:department-of-social-services,1.02,name_leading,accepted
review:custodian:australian-institute-of-health-and-welfare:3:sax-institute-sure-provides-the-secure-u,custodian:australian-institute-of-health-and-welfare,Australian Institute of Health and Welfare,"ABS: Collaboration on data integration and comparison of health expenditure.
Department of Social Services (DSS): Makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW.
Sax Institute (SURE): Provides the Secure Unified Research Environment for AIHW data access.",Sax Institute (SURE): Provides the Secure Unified Research Environment for AIHW data access,Secure Unified Research Environment,custodian:secure-unified-research-environment,1.0,name_exact,accepted
review:custodian:department-of-social-services:1:services-australia-dss-administrative-an,custodian:department-of-social-services,Department of Social Services,"Services Australia: DSS administrative analytical datasets for DOMINO are sourced from the Services Australia Enterprise Data Warehouse, and personal information is stored on Services Australia's cloud storage;AIHW: DSS makes DOMINO accessible through the AIHW, and AIHW is listed as a contact point for data access;ABS: ABS is listed as a contact point for data integration, and NDIS data has been linked to the Multi-Agency Data Integration Project (MADIP) by ABS.","Services Australia: DSS administrative analytical datasets for DOMINO are sourced from the Services Australia Enterprise Data Warehouse, and personal information is stored on Services Australia's cloud storage",Services Australia,custodian:services-australia,1.02,name_leading,accepted
review:custodian:department-of-social-services:2:aihw-dss-makes-domino-accessible-through,custodian:department-of-social-services,Department of Social Services,"Services Australia: DSS administrative analytical datasets for DOMINO are sourced from the Services Australia Enterprise Data Warehouse, and personal information is stored on Services Australia's cloud storage;AIHW: DSS makes DOMINO accessible through the AIHW, and AIHW is listed as a contact point for data access;ABS: ABS is listed as a contact point for data integration, and NDIS data has been linked to the Multi-Agency Data Integration Project (MADIP) by ABS.","AIHW: DSS makes DOMINO accessible through the AIHW, and AIHW is listed as a contact point for data access",Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted
review:custodian:department-of-social-services:3:abs-abs-is-listed-as-a-contact-point-for,custodian:department-of-social-services,Department of Social Services,"Services Australia: DSS administrative analytical datasets for DOMINO are sourced from the Services Australia Enterprise Data Warehouse, and personal information is stored on Services Australia's cloud storage;AIHW: DSS makes DOMINO accessible through the AIHW, and AIHW is listed as a contact point for data access;ABS: ABS is listed as a contact point for data integration, and NDIS data has been linked to the Multi-Agency Data Integration Project (MADIP) by ABS.","ABS: ABS is listed as a contact point for data integration, and NDIS data has been linked to the Multi-Agency Data Integration Project (MADIP) by ABS",Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.01,alias_leading,accepted
review:custodian:private-hospital-data-bureau:1:aihw-the-aihw-receives-de-identified-phd,custodian:private-hospital-data-bureau,Private Hospital Data Bureau,"AIHW: The AIHW receives de-identified PHDB data from the Department of Health and makes it available for research and reporting.
Department of Health and Aged Care: The Department of Health collects PHDB data directly from private hospitals and supplies de-identified data to the AIHW.
ABS: The AIHW partners with the ABS for secure data access environments like SEAM, which may be used for linked PHDB data.
PHRN: The Population Health Research Network (PHRN) supports researcher requests to access linked data, which could include PHDB data.",AIHW: The AIHW receives de-identified PHDB data from the Department of Health and makes it available for research and reporting,Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted
review:custodian:private-hospital-data-bureau:2:department-of-health-and-aged-care-the-d,custodian:private-hospital-data-bureau,Private Hospital Data Bureau,"AIHW: The AIHW receives de-identified PHDB data from the Department of Health and makes it available for research and reporting.
Department of Health and Aged Care: The Department of Health collects PHDB data directly from private hospitals and supplies de-identified data to the AIHW.
ABS: The AIHW partners with the ABS for secure data access environments like SEAM, which may be used for linked PHDB data.
PHRN: The Population Health Research Network (PHRN) supports researcher requests to access linked data, which could include PHDB data.",Department of Health and Aged Care: The Department of Health collects PHDB data directly from private hospitals and supplies de-identified data to the AIHW,Australian Government Department of Health and Aged Care,custodian:australian-government-department-of-health-and-aged-care,1.01,alias_leading,accepted
review:custodian:private-hospital-data-bureau:3:abs-the-aihw-partners-with-the-abs-for-s,custodian:private-hospital-data-bureau,Private Hospital Data Bureau,"AIHW: The AIHW receives de-identified PHDB data from the Department of Health and makes it available for research and reporting.
Department of Health and Aged Care: The Department of Health collects PHDB data directly from private hospitals and supplies de-identified data to the AIHW.
ABS: The AIHW partners with the ABS for secure data access environments like SEAM, which may be used for linked PHDB data.
PHRN: The Population Health Research Network (PHRN) supports researcher requests to access linked data, which could include PHDB data.","ABS: The AIHW partners with the ABS for secure data access environments like SEAM, which may be used for linked PHDB data",Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.01,alias_leading,accepted
review:custodian:private-hospital-data-bureau:4:phrn-the-population-health-research-netw,custodian:private-hospital-data-bureau,Private Hospital Data Bureau,"AIHW: The AIHW receives de-identified PHDB data from the Department of Health and makes it available for research and reporting.
Department of Health and Aged Care: The Department of Health collects PHDB data directly from private hospitals and supplies de-identified data to the AIHW.
ABS: The AIHW partners with the ABS for secure data access environments like SEAM, which may be used for linked PHDB data.
PHRN: The Population Health Research Network (PHRN) supports researcher requests to access linked data, which could include PHDB data.","PHRN: The Population Health Research Network (PHRN) supports researcher requests to access linked data, which could include PHDB data",Population Health Research Network,custodian:population-health-research-network,1.01,alias_leading,accepted
review:custodian:services-australia:1:department-of-health-and-aged-care-servi,custodian:services-australia,Services Australia,"Department of Health and Aged Care: Services Australia works with the Department of Health and Aged Care as the relevant policy department to ensure legislation and regulations allow the access, use, and disclosure of data. They also source MBS and PBS data from Services Australia for Medicare compliance purposes.
AIHW: AIHW collects and publishes data related to MBS and PBS, often drawing on data originating from Services Australia.
ABS: Services Australia refers to the National Statistical Service website (which includes ABS) for integrating data from administrative or survey sources.","Department of Health and Aged Care: Services Australia works with the Department of Health and Aged Care as the relevant policy department to ensure legislation and regulations allow the access, use, and disclosure of data. They also source MBS and PBS data from Services Australia for Medicare compliance purposes",Australian Government Department of Health and Aged Care,custodian:australian-government-department-of-health-and-aged-care,1.01,alias_leading,accepted
review:custodian:services-australia:2:aihw-aihw-collects-and-publishes-data-re,custodian:services-australia,Services Australia,"Department of Health and Aged Care: Services Australia works with the Department of Health and Aged Care as the relevant policy department to ensure legislation and regulations allow the access, use, and disclosure of data. They also source MBS and PBS data from Services Australia for Medicare compliance purposes.
AIHW: AIHW collects and publishes data related to MBS and PBS, often drawing on data originating from Services Australia.
ABS: Services Australia refers to the National Statistical Service website (which includes ABS) for integrating data from administrative or survey sources.","AIHW: AIHW collects and publishes data related to MBS and PBS, often drawing on data originating from Services Australia",Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted
review:custodian:services-australia:3:abs-services-australia-refers-to-the-nat,custodian:services-australia,Services Australia,"Department of Health and Aged Care: Services Australia works with the Department of Health and Aged Care as the relevant policy department to ensure legislation and regulations allow the access, use, and disclosure of data. They also source MBS and PBS data from Services Australia for Medicare compliance purposes.
AIHW: AIHW collects and publishes data related to MBS and PBS, often drawing on data originating from Services Australia.
ABS: Services Australia refers to the National Statistical Service website (which includes ABS) for integrating data from administrative or survey sources.",ABS: Services Australia refers to the National Statistical Service website (which includes ABS) for integrating data from administrative or survey sources,Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.01,alias_leading,accepted
review:custodian:therapeutic-goods-administration:1:australian-institute-of-health-and-welfa,custodian:therapeutic-goods-administration,Therapeutic Goods Administration,"Australian Institute of Health and Welfare (AIHW): TGA plays a key role in the National Medicines Policy, which AIHW reports on.
Department of Health and Aged Care: TGA is part of the Australian Government Department of Health and Aged Care.
NHMRC/HRECs: Human Research Ethics Committees (HRECs) register with the National Health and Medical Research Council (NHMRC) and are involved in TGA-regulated clinical trials.","Australian Institute of Health and Welfare (AIHW): TGA plays a key role in the National Medicines Policy, which AIHW reports on",Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.02,name_leading,accepted
review:custodian:therapeutic-goods-administration:2:department-of-health-and-aged-care-tga-i,custodian:therapeutic-goods-administration,Therapeutic Goods Administration,"Australian Institute of Health and Welfare (AIHW): TGA plays a key role in the National Medicines Policy, which AIHW reports on.
Department of Health and Aged Care: TGA is part of the Australian Government Department of Health and Aged Care.
NHMRC/HRECs: Human Research Ethics Committees (HRECs) register with the National Health and Medical Research Council (NHMRC) and are involved in TGA-regulated clinical trials.",Department of Health and Aged Care: TGA is part of the Australian Government Department of Health and Aged Care,Australian Government Department of Health and Aged Care,custodian:australian-government-department-of-health-and-aged-care,1.01,alias_leading,accepted
review:custodian:therapeutic-goods-administration:3:nhmrc-hrecs-human-research-ethics-commit,custodian:therapeutic-goods-administration,Therapeutic Goods Administration,"Australian Institute of Health and Welfare (AIHW): TGA plays a key role in the National Medicines Policy, which AIHW reports on.
Department of Health and Aged Care: TGA is part of the Australian Government Department of Health and Aged Care.
NHMRC/HRECs: Human Research Ethics Committees (HRECs) register with the National Health and Medical Research Council (NHMRC) and are involved in TGA-regulated clinical trials.",NHMRC/HRECs: Human Research Ethics Committees (HRECs) register with the National Health and Medical Research Council (NHMRC) and are involved in TGA-regulated clinical trials,National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,1.01,alias_leading,accepted
review:custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care:1:department-of-health-and-aged-care-fundi,custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care,MedicineInsight (Australian Commission on Safety and Quality in Health Care),"Department of Health and Aged Care: funding for the program
RACGP: MedicineInsight is GP practice longitudinal prescribing and clinical data, RACGP is a key partner in general practice
ACSQHC: The Australian Commission on Safety and Quality in Health Care is the custodian of the MedicineInsight program",Department of Health and Aged Care: funding for the program,Australian Government Department of Health and Aged Care,custodian:australian-government-department-of-health-and-aged-care,1.01,alias_leading,accepted
review:custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care:2:racgp-medicineinsight-is-gp-practice-lon:override-reject,custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care,MedicineInsight (Australian Commission on Safety and Quality in Health Care),"Department of Health and Aged Care: funding for the program
RACGP: MedicineInsight is GP practice longitudinal prescribing and clinical data, RACGP is a key partner in general practice
ACSQHC: The Australian Commission on Safety and Quality in Health Care is the custodian of the MedicineInsight program","RACGP: MedicineInsight is GP practice longitudinal prescribing and clinical data, RACGP is a key partner in general practice",,,0.0,override_force_reject,rejected
review:custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care:3:acsqhc-the-australian-commission-on-safe,custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care,MedicineInsight (Australian Commission on Safety and Quality in Health Care),"Department of Health and Aged Care: funding for the program
RACGP: MedicineInsight is GP practice longitudinal prescribing and clinical data, RACGP is a key partner in general practice
ACSQHC: The Australian Commission on Safety and Quality in Health Care is the custodian of the MedicineInsight program",ACSQHC: The Australian Commission on Safety and Quality in Health Care is the custodian of the MedicineInsight program,Australian Commission on Safety and Quality in Health Care,custodian:australian-commission-on-safety-and-quality-in-health-care,1.01,alias_leading,accepted
review:custodian:population-health-research-network:1:aihw-phrn-supported-the-development-of-t,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative.","AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW",Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted
review:custodian:population-health-research-network:2:1:nsw-health-phrn-delivers-coord:override,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative.","NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health",NSW Health / Ministry of Health NSW,custodian:nsw-health-ministry-of-health-nsw,1.0,override_force_accept,accepted
review:custodian:population-health-research-network:3:1:wa-health-phrn-delivers-coordi:override,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative.","WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health",WA Health / Data Linkage Services WA,custodian:wa-health-data-linkage-services-wa,1.0,override_force_accept,accepted
review:custodian:population-health-research-network:4:sa-health-sa-nt-datalink-phrn-delivers-c,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative.","SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health",SA Health / SA NT DataLink,custodian:sa-health-sa-nt-datalink,1.02,name_leading,accepted
review:custodian:population-health-research-network:5:tasmanian-doh-tdlu-phrn-delivers-coordin,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative.","Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health",Tasmanian Department of Health / Tasmanian Data Linkage Unit,custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit,0.96,alias_exact,accepted
review:custodian:population-health-research-network:6:queensland-health-phrn-delivers-coordina,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative.","Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health",Queensland Health,custodian:queensland-health,1.02,name_leading,accepted
review:custodian:population-health-research-network:7:department-of-health-and-aged-care-phrn-,custodian:population-health-research-network,Population Health Research Network,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative.","Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative",Australian Government Department of Health and Aged Care,custodian:australian-government-department-of-health-and-aged-care,1.01,alias_leading,accepted
